"past_virus_outbreaks","temperature","chlorophyll","phosphorus","nitrogen","salinity","dinoflagellates","diatoms","salmon_lice_outbreak"
6,10.36,72,35,0,33.6,0.627,50,"pos"
1,5.95,66,29,0,26.6,0.351,31,"neg"
8,12.81,64,0,0,23.3,0.672,32,"pos"
1,6.23,66,23,94,28.1,0.167,21,"neg"
0,9.59,40,35,168,43.1,2.288,33,"pos"
5,8.12,74,0,0,25.6,0.201,30,"neg"
3,5.46,50,32,88,31,0.248,26,"pos"
10,8.05,0,0,0,35.3,0.134,29,"neg"
2,13.79,70,45,543,30.5,0.158,53,"pos"
8,8.75,96,0,0,0,0.232,54,"pos"
4,7.7,92,0,0,37.6,0.191,30,"neg"
10,11.76,74,0,0,38,0.537,34,"pos"
10,9.73,80,0,0,27.1,1.441,57,"neg"
1,13.23,60,23,846,30.1,0.398,59,"pos"
5,11.62,72,19,175,25.8,0.587,51,"pos"
7,7,0,0,0,30,0.484,32,"pos"
0,8.26,84,47,230,45.8,0.551,31,"pos"
7,7.49,74,0,0,29.6,0.254,31,"pos"
1,7.21,30,38,83,43.3,0.183,33,"neg"
1,8.05,70,30,96,34.6,0.529,32,"pos"
3,8.82,88,41,235,39.3,0.704,27,"neg"
8,6.93,84,0,0,35.4,0.388,50,"neg"
7,13.72,90,0,0,39.8,0.451,41,"pos"
9,8.33,80,35,0,29,0.263,29,"pos"
11,10.01,94,33,146,36.6,0.254,51,"pos"
10,8.75,70,26,115,31.1,0.205,41,"pos"
7,10.29,76,0,0,39.4,0.257,43,"pos"
1,6.79,66,15,140,23.2,0.487,22,"neg"
13,10.15,82,19,110,22.2,0.245,57,"neg"
5,8.19,92,0,0,34.1,0.337,38,"neg"
5,7.63,75,26,0,36,0.546,60,"neg"
3,11.06,76,36,245,31.6,0.851,28,"pos"
3,6.16,58,11,54,24.8,0.267,22,"neg"
6,6.44,92,0,0,19.9,0.188,28,"neg"
10,8.54,78,31,0,27.6,0.512,45,"neg"
4,7.21,60,33,192,24,0.966,33,"neg"
11,9.66,76,0,0,33.2,0.42,35,"neg"
9,7.14,76,37,0,32.9,0.665,46,"pos"
2,6.3,68,42,0,38.2,0.503,27,"pos"
4,7.77,72,47,207,37.1,1.39,56,"pos"
3,12.6,64,25,70,34,0.271,26,"neg"
7,9.31,84,0,0,40.2,0.696,37,"neg"
7,7.42,92,18,0,22.7,0.235,48,"neg"
9,11.97,110,24,240,45.4,0.721,54,"pos"
7,11.13,64,0,0,27.4,0.294,40,"neg"
0,12.6,66,39,0,42,1.893,25,"pos"
1,10.22,56,0,0,29.7,0.564,29,"neg"
2,4.97,70,27,0,28,0.586,22,"neg"
7,7.21,66,32,0,39.1,0.344,31,"pos"
7,7.35,0,0,0,0,0.305,24,"neg"
1,7.21,80,11,82,19.4,0.491,22,"neg"
1,7.07,50,15,36,24.2,0.526,26,"neg"
5,6.16,66,21,23,24.4,0.342,30,"neg"
8,12.32,90,34,300,33.7,0.467,58,"pos"
7,10.5,66,42,342,34.7,0.718,42,"neg"
1,5.11,50,10,0,23,0.248,21,"neg"
7,13.09,68,39,304,37.7,0.254,41,"pos"
0,7,88,60,110,46.8,0.962,31,"neg"
0,10.22,82,0,0,40.5,1.781,44,"neg"
0,7.35,64,41,142,41.5,0.173,22,"neg"
2,5.88,0,0,0,0,0.304,21,"neg"
8,9.31,72,0,0,32.9,0.27,39,"pos"
5,3.08,62,0,0,25,0.587,36,"neg"
2,9.87,58,34,128,25.4,0.699,24,"neg"
7,7.98,66,0,0,32.8,0.258,42,"pos"
5,6.93,74,27,0,29,0.203,32,"neg"
0,7.63,88,30,0,32.5,0.855,38,"pos"
2,7.63,92,0,0,42.7,0.845,54,"neg"
1,6.65,66,13,38,19.6,0.334,25,"neg"
4,10.22,85,27,100,28.9,0.189,27,"neg"
2,7,66,20,90,32.9,0.867,28,"pos"
5,9.73,64,35,140,28.6,0.411,26,"neg"
13,8.82,90,0,0,43.4,0.583,42,"pos"
4,9.03,86,20,270,35.1,0.231,23,"neg"
1,5.53,75,30,0,32,0.396,22,"neg"
1,0,48,20,0,24.7,0.14,22,"neg"
7,4.34,78,0,0,32.6,0.391,41,"neg"
5,6.65,72,33,0,37.7,0.37,27,"neg"
0,9.17,0,0,0,43.2,0.27,26,"pos"
2,7.84,66,22,0,25,0.307,24,"neg"
3,7.91,44,13,0,22.4,0.14,22,"neg"
2,5.18,0,0,0,0,0.102,22,"neg"
7,5.81,78,26,71,29.3,0.767,36,"neg"
0,7.07,65,28,0,24.6,0.237,22,"neg"
5,9.59,108,0,0,48.8,0.227,37,"pos"
2,7.7,74,29,125,32.4,0.698,27,"neg"
13,7.42,72,54,0,36.6,0.178,45,"neg"
2,7,68,25,71,38.5,0.324,26,"neg"
15,9.52,70,32,110,37.1,0.153,43,"pos"
1,7.49,68,19,0,26.5,0.165,24,"neg"
1,5.6,55,0,0,19.1,0.258,21,"neg"
4,8.61,80,15,176,32,0.443,34,"neg"
7,5.67,78,40,48,46.7,0.261,42,"neg"
4,9.38,72,0,0,23.8,0.277,60,"pos"
2,9.94,82,18,64,24.7,0.761,21,"neg"
6,10.08,72,27,228,33.9,0.255,40,"neg"
2,6.44,62,28,0,31.6,0.13,24,"neg"
1,4.97,48,18,76,20.4,0.323,22,"neg"
6,6.51,50,30,64,28.7,0.356,23,"neg"
1,8.54,90,51,220,49.7,0.325,31,"pos"
1,11.41,72,0,0,39,1.222,33,"pos"
1,10.57,60,0,0,26.1,0.179,22,"neg"
0,8.75,96,0,0,22.5,0.262,21,"neg"
1,5.67,72,18,40,26.6,0.283,24,"neg"
2,5.95,65,0,0,39.6,0.93,27,"neg"
1,8.82,56,29,152,28.7,0.801,21,"neg"
1,6.72,122,0,0,22.4,0.207,27,"neg"
4,10.08,58,28,140,29.5,0.287,37,"neg"
3,5.81,58,31,18,34.3,0.336,25,"neg"
0,6.65,85,25,36,37.4,0.247,24,"pos"
3,11.97,72,33,135,33.3,0.199,24,"pos"
8,10.85,62,26,495,34,0.543,46,"pos"
1,6.23,76,34,37,31.2,0.192,23,"neg"
4,5.32,62,0,0,34,0.391,25,"neg"
7,11.2,54,32,175,30.5,0.588,39,"pos"
4,10.22,92,0,0,31.2,0.539,61,"pos"
5,8.68,74,0,0,34,0.22,38,"pos"
5,5.46,48,0,0,33.7,0.654,25,"neg"
4,6.79,60,23,0,28.2,0.443,22,"neg"
4,6.93,76,15,51,23.2,0.223,21,"neg"
0,11.34,76,56,100,53.2,0.759,25,"pos"
6,7.77,64,39,0,34.2,0.26,24,"neg"
2,7.49,74,30,100,33.6,0.404,23,"neg"
5,9.24,80,0,0,26.8,0.186,69,"neg"
0,7.91,76,0,0,33.3,0.278,23,"pos"
1,6.16,30,42,99,55,0.496,26,"pos"
3,8.4,70,30,135,42.9,0.452,30,"neg"
1,8.26,58,36,94,33.3,0.261,23,"neg"
1,8.19,88,24,145,34.5,0.403,40,"pos"
0,7.35,84,0,0,27.9,0.741,62,"pos"
4,12.11,70,14,168,29.7,0.361,33,"pos"
9,8.54,56,0,0,33.3,1.114,33,"pos"
3,11.9,64,37,225,34.5,0.356,30,"pos"
8,5.88,74,31,0,38.3,0.457,39,"neg"
2,6.72,68,13,49,21.1,0.647,26,"neg"
2,8.75,60,20,140,33.8,0.088,31,"neg"
0,7,70,26,50,30.8,0.597,21,"neg"
0,6.51,60,25,92,28.7,0.532,22,"neg"
0,9.03,80,0,0,31.2,0.703,29,"neg"
5,7.35,72,29,325,36.9,0.159,28,"neg"
3,8.96,78,0,0,21.1,0.268,55,"neg"
5,7.42,82,30,0,39.5,0.286,38,"neg"
2,7.56,52,26,63,32.5,0.318,22,"neg"
10,7.56,66,0,0,32.4,0.272,42,"pos"
4,10.78,62,31,284,32.8,0.237,23,"neg"
0,7.14,75,23,0,0,0.572,21,"neg"
9,3.99,80,37,0,32.8,0.096,41,"neg"
2,7.42,64,35,119,30.5,1.4,34,"neg"
5,10.29,78,0,0,33.7,0.218,65,"neg"
2,6.3,70,17,0,27.3,0.085,22,"neg"
1,9.52,74,50,204,37.4,0.399,24,"neg"
4,7.98,65,0,0,21.9,0.432,37,"neg"
9,10.92,86,28,155,34.3,1.189,42,"pos"
1,10.71,82,42,485,40.6,0.687,23,"neg"
8,13.16,78,0,0,47.9,0.137,43,"pos"
7,10.64,88,44,0,50,0.337,36,"pos"
2,6.93,52,15,94,24.6,0.637,21,"neg"
1,7.63,56,21,135,25.2,0.833,23,"neg"
2,6.16,74,19,53,29,0.229,22,"neg"
17,11.41,72,41,114,40.9,0.817,47,"pos"
4,10.57,90,38,0,29.7,0.294,36,"neg"
7,7.14,74,40,105,37.2,0.204,45,"neg"
0,7.98,80,34,285,44.2,0.167,27,"neg"
2,7,64,23,0,29.7,0.368,21,"neg"
0,9.17,88,0,0,31.6,0.743,32,"pos"
6,7.28,74,18,156,29.9,0.722,41,"pos"
3,10.36,66,25,0,32.5,0.256,22,"neg"
4,8.4,68,0,0,29.6,0.709,34,"neg"
4,7.7,66,0,0,31.9,0.471,29,"neg"
3,7.77,90,12,78,28.4,0.495,29,"neg"
6,7.14,82,0,0,30.8,0.18,36,"pos"
6,9.38,70,23,130,35.4,0.542,29,"pos"
2,6.09,0,23,0,28.9,0.773,25,"neg"
1,5.53,60,42,48,43.5,0.678,23,"neg"
2,5.25,64,24,55,29.7,0.37,33,"neg"
8,12.53,72,42,130,32.7,0.719,36,"pos"
6,5.95,78,0,0,31.2,0.382,42,"neg"
0,9.03,110,46,130,67.1,0.319,26,"pos"
5,10.01,78,0,0,45,0.19,47,"neg"
5,9.1,82,0,0,39.1,0.956,37,"pos"
6,6.09,80,0,0,23.2,0.084,32,"neg"
0,8.33,64,18,92,34.9,0.725,23,"neg"
1,0,74,20,23,27.7,0.299,21,"neg"
5,5.11,60,0,0,26.8,0.268,27,"neg"
4,9.87,74,0,0,27.6,0.244,40,"neg"
7,13.58,68,28,0,35.9,0.745,41,"pos"
8,12.67,68,36,495,30.1,0.615,60,"pos"
1,8.96,98,41,58,32,1.321,33,"pos"
8,7.63,76,39,114,27.9,0.64,31,"pos"
5,9.73,80,35,160,31.6,0.361,25,"pos"
3,7.77,62,0,0,22.6,0.142,21,"neg"
9,8.61,70,44,94,33.1,0.374,40,"neg"
7,11.13,66,0,0,30.4,0.383,36,"pos"
11,9.45,0,0,0,52.3,0.578,40,"pos"
8,5.95,55,20,0,24.4,0.136,42,"neg"
5,11.06,84,41,210,39.4,0.395,29,"pos"
1,7.35,58,0,0,24.3,0.187,21,"neg"
3,7.49,62,13,48,22.9,0.678,23,"pos"
4,7.63,64,44,99,34.8,0.905,26,"pos"
4,10.36,60,27,318,30.9,0.15,29,"pos"
0,7.91,80,16,0,31,0.874,21,"neg"
1,9.66,82,0,0,40.1,0.236,28,"neg"
0,7.56,68,20,0,27.3,0.787,32,"neg"
2,6.93,70,16,44,20.4,0.235,27,"neg"
6,7.21,72,32,190,37.7,0.324,55,"neg"
5,7.77,72,28,0,23.9,0.407,27,"neg"
8,13.72,76,29,280,37.5,0.605,57,"pos"
5,11.34,104,0,0,37.7,0.151,52,"pos"
1,6.72,64,27,87,33.2,0.289,21,"neg"
7,12.88,84,33,0,35.5,0.355,41,"pos"
2,5.67,60,22,0,27.7,0.29,25,"neg"
0,10.29,85,54,0,42.8,0.375,24,"neg"
7,12.53,95,31,0,34.2,0.164,60,"neg"
0,9.8,65,26,130,42.6,0.431,24,"pos"
9,7.84,82,32,175,34.2,0.26,36,"pos"
12,10.57,70,40,271,41.8,0.742,38,"pos"
5,7.63,62,41,129,35.8,0.514,25,"pos"
6,8.75,68,30,120,30,0.464,32,"neg"
5,5.95,74,22,0,29,1.224,32,"pos"
5,7.84,66,0,0,37.8,0.261,41,"pos"
0,12.39,60,29,478,34.6,1.072,21,"pos"
2,11.06,90,0,0,31.6,0.805,66,"pos"
7,8.33,0,0,0,25.2,0.209,37,"neg"
7,9.94,60,33,190,28.8,0.687,61,"neg"
1,7,66,15,56,23.6,0.666,26,"neg"
1,6.09,78,27,32,34.6,0.101,22,"neg"
0,7.07,76,0,0,35.7,0.198,26,"neg"
3,11.34,52,38,0,37.2,0.652,24,"pos"
