 Location:  0N 110W   8 Mar 1980 to 18 Nov 2020 ( 2972 times, 18 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST QUALITY
1980_03_08 1200 25.45 2
1980_03_13 1200 23.91 2
1980_03_18 1200 26.39 2
1980_08_10 1200 21.69 2
1980_08_15 1200 21.54 2
1980_08_20 1200 21.79 2
1980_08_25 1200 22.21 2
1980_08_30 1200 23.83 2
1980_09_04 1200 22.03 2
1980_09_09 1200 21.91 2
1980_09_14 1200 22.13 2
1980_09_19 1200 23.42 2
1980_09_24 1200 23.42 2
1980_09_29 1200 22.08 2
1980_10_04 1200 21.66 2
1980_10_09 1200 20.87 2
1980_10_14 1200 20.57 2
1980_10_19 1200 20.93 2
1980_10_24 1200 21.61 2
1980_10_29 1200 21.86 2
1980_11_03 1200 23.58 2
1980_11_08 1200 24.49 2
1980_11_13 1200 22.6 2
1980_11_18 1200 22.64 2
1980_11_23 1200 22.95 2
1980_11_28 1200 24.03 2
1980_12_03 1200 22.36 2
1980_12_08 1200 22.85 2
1980_12_13 1200 23.67 2
1980_12_18 1200 24.86 2
1980_12_23 1200 23.24 2
1980_12_28 1200 22.88 2
1981_01_02 1200 22.53 2
1981_01_07 1200 22.47 2
1981_01_12 1200 22.43 2
1981_01_17 1200 22.86 2
1981_01_22 1200 22.95 2
1981_01_27 1200 22.96 2
1981_02_01 1200 23.08 2
1981_02_06 1200 24.31 2
1981_02_11 1200 25.41 2
1981_02_16 1200 23.59 2
1981_02_21 1200 23.81 2
1981_02_26 1200 24.02 2
1981_03_03 1200 24.01 2
1981_03_08 1200 24.54 2
1981_03_13 1200 24.65 2
1981_03_18 1200 26.99 2
1981_03_23 1200 27.56 2
1981_03_28 1200 27 2
1981_07_11 1200 23.73 2
1981_07_16 1200 23.17 2
1981_07_21 1200 22.55 2
1981_07_26 1200 21.99 2
1981_07_31 1200 20.4 2
1981_08_05 1200 20.33 2
1981_08_10 1200 20.06 2
1981_08_15 1200 21.01 2
1981_08_20 1200 21.01 2
1981_11_03 1200 21.7 2
1981_11_08 1200 21.73 2
1981_11_13 1200 23.47 2
1982_10_29 1200 26.46 2
1982_11_03 1200 26.34 2
1982_11_08 1200 26.43 2
1982_11_13 1200 26.45 2
1982_11_18 1200 26.62 2
1982_11_23 1200 26.9 2
1982_11_28 1200 27.04 2
1982_12_03 1200 26.96 2
1982_12_08 1200 27.27 2
1982_12_13 1200 27.47 2
1982_12_18 1200 27.57 2
1982_12_23 1200 27.83 2
1982_12_28 1200 27.89 2
1983_01_02 1200 28.07 2
1983_01_07 1200 28.08 2
1983_01_12 1200 28.2 2
1983_01_17 1200 28.17 2
1983_01_22 1200 28.12 2
1983_01_27 1200 28.02 2
1983_02_01 1200 28.07 2
1983_02_06 1200 28.33 2
1983_02_11 1200 28.41 2
1983_02_16 1200 28.45 2
1983_02_21 1200 28.69 2
1983_02_26 1200 29.52 2
1983_03_03 1200 29.03 2
1983_03_08 1200 29.03 2
1983_03_13 1200 28.63 2
1983_03_18 1200 28.81 2
1983_03_23 1200 29.05 2
1983_03_28 1200 29.03 2
1983_04_02 1200 29.14 2
1983_04_07 1200 29.43 2
1983_04_12 1200 29.56 2
1983_04_17 1200 29.35 2
1983_04_22 1200 29.01 2
1983_11_03 1200 22.15 2
1983_11_08 1200 22.54 2
1983_11_13 1200 20.97 2
1983_11_18 1200 20.38 2
1983_11_23 1200 19.91 2
1983_11_28 1200 19.87 2
1983_12_03 1200 20 2
1983_12_08 1200 19.79 2
1983_12_13 1200 20 2
1983_12_18 1200 20.43 2
1983_12_23 1200 20.34 2
