 Location:  0N 165E  13 Dec 1986 to 19 Oct 2020 ( 2472 times, 11 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST Q
1986_12_13 1200 28.88 2
1986_12_18 1200 28.87 2
1986_12_23 1200 28.85 2
1986_12_28 1200 29.17 2
1987_01_02 1200 29.17 2
1987_01_07 1200 29.28 2
1987_01_12 1200 29.3 2
1987_01_17 1200 29.25 2
1987_01_22 1200 29.23 2
1987_01_27 1200 29.2 2
1987_02_01 1200 29.17 2
1987_02_06 1200 29.42 2
1987_02_11 1200 29.12 2
1987_02_16 1200 29.04 2
1987_02_21 1200 29.04 2
1987_02_26 1200 28.96 2
1987_03_03 1200 29.02 2
1987_03_08 1200 29.5 2
1987_03_13 1200 29.65 2
1987_03_18 1200 29.23 2
1987_03_23 1200 29.35 2
1987_03_28 1200 29.12 2
1987_04_02 1200 29.35 2
1987_04_07 1200 29.27 2
1987_04_12 1200 29.04 2
1987_04_17 1200 29.17 2
1987_04_22 1200 29.15 2
1987_04_27 1200 29.47 2
1987_05_02 1200 29.44 2
1987_05_07 1200 29.28 2
1987_05_12 1200 29.16 2
1987_05_17 1200 29.26 2
1987_05_22 1200 29.21 2
1987_05_27 1200 29.59 2
1987_06_01 1200 29.39 2
1987_06_06 1200 29.62 2
1987_06_11 1200 29.59 2
1987_06_16 1200 29.33 2
1987_06_21 1200 29.45 2
1987_06_26 1200 29.06 2
1987_07_01 1200 29.07 2
1987_07_06 1200 28.96 2
1987_07_11 1200 28.89 2
1987_07_16 1200 28.71 2
1987_07_21 1200 28.58 2
1987_07_26 1200 28.77 2
1987_07_31 1200 29.15 2
1987_08_05 1200 29.11 2
1987_08_10 1200 28.9 2
1987_08_15 1200 28.77 2
1987_08_20 1200 28.86 2
1987_08_25 1200 28.94 2
1987_08_30 1200 28.7 2
1987_09_04 1200 28.74 2
1987_09_09 1200 28.77 2
1987_09_14 1200 29.25 2
1987_09_19 1200 29.43 2
1987_09_24 1200 29.53 2
1987_09_29 1200 29.73 2
1987_10_04 1200 29.71 2
1987_10_09 1200 29.66 2
1987_10_14 1200 29.67 2
1987_10_19 1200 29.82 2
1987_10_24 1200 30.26 2
1987_10_29 1200 30.32 2
1987_11_03 1200 30.77 2
1987_11_08 1200 30.72 2
1987_11_13 1200 30.49 2
1987_11_18 1200 30.11 2
1987_11_23 1200 30.05 2
1987_11_28 1200 30.27 2
1987_12_03 1200 30.08 2
1987_12_08 1200 30.23 2
1987_12_13 1200 30.19 2
1987_12_18 1200 29.92 2
1987_12_23 1200 29.87 2
1987_12_28 1200 29.78 2
1988_01_02 1200 29.66 2
1988_01_07 1200 29.63 2
1988_01_12 1200 29.69 2
1988_01_17 1200 29.9 2
1988_01_22 1200 29.75 2
1988_01_27 1200 29.69 2
1988_02_01 1200 29.87 2
1988_02_06 1200 29.59 2
1988_02_11 1200 29.65 2
1988_02_16 1200 29.54 2
1988_02_21 1200 29.37 2
1988_02_26 1200 29.56 2
1988_03_03 1200 29.55 2
1988_03_08 1200 29.36 2
1988_03_13 1200 28.9 2
1988_03_18 1200 28.64 2
1988_03_23 1200 28.27 2
1988_03_28 1200 27.98 2
1988_04_02 1200 27.91 2
1988_04_07 1200 28.01 2
1988_04_12 1200 28.34 2
1988_04_17 1200 28.3 2
1988_05_22 1200 28.42 2
1988_05_27 1200 28.69 2
1988_06_01 1200 28.78 2
1988_06_06 1200 28.72 2
1988_06_11 1200 28.6 2
1988_06_16 1200 28.5 2
1988_06_21 1200 28.62 2
1988_06_26 1200 28.51 2
1988_07_01 1200 28.69 2
1988_07_06 1200 28.67 2
1988_07_11 1200 28.51 2
1988_07_16 1200 28.49 2
1988_07_21 1200 28.38 2
1988_07_26 1200 28.5 2
1988_07_31 1200 28.76 2
1988_08_05 1200 28.36 2
1988_08_10 1200 27.91 2
1988_08_15 1200 27.93 2
1988_08_20 1200 27.77 2
1988_08_25 1200 27.85 2
1988_08_30 1200 27.9 2
1988_09_04 1200 28.14 2
1988_09_09 1200 27.95 2
1988_09_14 1200 27.48 2
1988_09_19 1200 27.65 2
1988_09_24 1200 27.67 2
1988_09_29 1200 27.52 2
1988_10_04 1200 27.53 2
1988_10_09 1200 27.72 2
1988_10_14 1200 27.56 2
1988_10_19 1200 27.78 2
1988_10_24 1200 27.82 2
1988_10_29 1200 27.67 2
1988_11_03 1200 27.44 2
1988_11_08 1200 27.39 2
1988_11_13 1200 27.52 2
1988_11_18 1200 27.75 2
1988_11_23 1200 27.68 2
