Stock,Gear Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Albacore in the Mediterranean Sea,Gear not known,500,600,700,700,1753,2973,3068,3782,3879,3879,1098,1198,1533,879,766,1031,2435,1991,2426,4265,2690,2193,1755,3165,2178,1200,134,1401,250,2414,404
Albacore in the Mediterranean Sea,Longlines (nei),0,0,0,0,226,375,324,163,168,165,624,524,442,410,350,87,391,348,194,417,2800,2597,3706,4248,2344,2013,3010,4119,2690,1582,1718
Albacore in the Mediterranean Sea,Mechanized lines and pole-and-lines,0,900,539,535,1331,243,0,0,0,0,83,499,171,231,81,163,205,0,33,96,88,77,29,0,0,0,0,0,0,0,0
Albacore in the Mediterranean Sea,Purse seines,0,0,0,0,141,274,10,50,16,16,91,110,6,559,23,0,0,0,0,0,0,0,1,478,353,316,2803,1045,24,25,0
Albacore in the Mediterranean Sea,Trolling lines,0,0,33,0,0,264,310,0,0,0,0,48,50,59,129,306,119,202,45,73,0,0,117,0,0,0,0,0,0,1,0
Albacore in the North Atlantic,Gear not known,3,522,694,367,2194,110,213,605,2687,3891,4898,4468,7776,9058,9636,6604,5908,7254,8164,12158,9518,8200,5798,4397,3065,7624,7010,3952,4594,3238,2350
Albacore in the North Atlantic,Longlines (nei),9451,9819,13206,16863,19709,17413,21231,7296,3013,2239,2683,5315,3151,7093,7308,4859,4642,4053,4035,6711,7322,7373,6180,7700,6918,6912,5223,3236,2640,2624,4030
Albacore in the North Atlantic,Mechanized lines and pole-and-lines,16177,13412,15857,21108,8313,12589,15217,18794,15933,15374,18625,8985,12448,15646,11967,16411,11338,9821,7562,8780,12148,6104,6639,7917,8129,10459,14272,8498,7931,4993,6025
Albacore in the North Atlantic,Purse seines,0,0,84,364,555,59,60,1,97,12,1,222,139,229,292,278,263,26,91,56,191,264,118,211,348,100,188,198,70,89,99
Albacore in the North Atlantic,Trolling lines,13059,10778,12831,12788,11029,10654,10847,11457,11329,10554,10675,8959,7348,6109,5959,10226,6652,7870,5894,6845,5023,4311,4007,5419,7501,10225,10296,6105,5238,4439,7145
Albacore in the North Pacific,Gear not known,60,35,2,2,24,170,149,3,0,90,306,170,18,19,101,56,21,8,192,23,69,53,67,292,107,78,324,159,159,210,246
Albacore in the North Pacific,Longlines (nei),0,0,0,0,0,0,0,0,0,0,0,0,24,34,257,261,553,1376,2089,574,2964,10299,5225,9709,5393,2783,4093,4222,2769,2950,3169
Albacore in the North Pacific,Mechanized lines and pole-and-lines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,57,0,0,0,0,0,0,21,1050,2218,1874
Albacore in the North Pacific,Purse seines,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,147,39,42,0
Albacore in the South Atlantic,Gear not known,449,89,493,484,234,334,400,537,398,411,1139,137,393,39,483,10,209,247,9,125,58,377,323,94,317,288,394,1762,1219,211,122
Albacore in the South Atlantic,Longlines (nei),20671,20426,25255,11941,9834,22672,29815,30964,21894,19407,21590,22008,27163,23946,24806,20039,20999,19546,19799,20639,24398,28037,21669,20628,14734,12976,17740,15086,13219,12693,13391
Albacore in the South Atlantic,Mechanized lines and pole-and-lines,1346,1721,2575,1794,4166,7909,6829,8181,7696,7393,5981,3454,6490,7379,8947,7091,6960,8110,10353,6709,6874,10355,9713,6973,7476,5084,5876,3375,4346,9776,5272
Albacore in the South Atlantic,Purse seines,480,1804,1349,699,365,182,244,948,185,0,4,416,2517,1448,1063,413,257,118,434,183,58,25,38,309,16,534,442,45,75,146,114
Albacore in the South Pacific,Gear not known,4378,11279,13408,7365,13151,15351,11342,11234,23043,39433,31631,9635,12541,1293,1549,652,634,1799,1735,4309,2712,2176,3063,2684,1964,2546,1099,816,2260,890,869
Albacore in the South Pacific,Longlines (nei),46607,51558,46622,40895,36473,41919,45781,37390,43889,33274,35976,41434,50583,61372,64943,62280,63199,75468,85841,78676,75934,85763,93949,89245,87071,90038,94573,88604,84805,102667,110628
Albacore in the South Pacific,Mechanized lines and pole-and-lines,47225,28174,30040,21705,27045,22212,16528,19249,6814,8683,8892,7117,13899,12871,26456,21200,20326,32332,23041,50567,21721,29606,48850,36185,32490,16228,15452,37806,19078,33502,21777
Albacore in the South Pacific,Purse seines,329,252,561,350,7108,1533,1542,1205,1208,2521,2066,2652,4104,2889,2026,1177,592,1070,1587,6920,2412,1025,3306,630,7201,852,364,5682,826,2088,320
Albacore in the South Pacific,Trolling lines,9236,14922,9147,10328,12127,9724,6741,5004,8663,10370,9880,9789,11512,11044,20298,18474,29228,23353,26354,17272,21514,21880,20897,27498,26786,17518,21814,20752,20346,18867,19313
Albacore Indian Ocean,Gear not known,3,0,118,129,0,721,18175,14026,14441,10621,25728,9005,2643,28,44,50,53,62,49,55,79,100,62,56,74,90,299,591,982,1451,1383
Albacore Indian Ocean,Longlines (nei),13405,14430,23859,19231,16330,9132,14505,16662,14620,9994,8865,17761,15880,17549,21985,21726,28513,25443,36377,37024,36453,42309,33859,24673,30875,31216,28026,41559,42000,36877,41359
Albacore Indian Ocean,Mechanized lines and pole-and-lines,0,0,392,13,28,4,0,1,0,1,0,0,6,8,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albacore Indian Ocean,Purse seines,0,0,12,0,558,725,218,243,267,6,340,2244,3297,1328,2577,1294,1583,2030,1569,557,1164,1280,772,1497,232,165,1548,726,1424,392,207
Albacore Indian Ocean,Trolling lines,20,19,15,14,14,11,12,13,16,15,15,54,27,2,2,2,2,7,0,0,1,1,4,3,4,5,1,0,0,0,0
Atlantic bluefin tuna in the East Atlantic and Mediterranean Sea,Gear not known,1991,2477,4318,4276,6746,6174,5664,5508,7842,6844,7347,5225,5556,5747,8678,6818,6126,8016,7889,8738,7354,7803,7071,6833,4927,4423,4447,5171,4667,3922,3502
Atlantic bluefin tuna in the East Atlantic and Mediterranean Sea,Longlines (nei),1255,917,4255,3606,2737,1779,1645,1723,2396,2083,2510,6058,6407,5031,9158,12822,12959,10206,7049,6483,7053,7052,5510,5106,4596,5812,4649,4361,4747,3171,2116
Atlantic bluefin tuna in the East Atlantic and Mediterranean Sea,Mechanized lines and pole-and-lines,1499,1222,885,1882,3961,2282,1414,1821,1936,1971,1718,1593,1299,3495,1979,2808,4990,3525,2561,1496,1821,2275,2568,1379,1808,139,1115,2032,1795,1259,724
Atlantic bluefin tuna in the East Atlantic and Mediterranean Sea,Purse seines,8978,8795,12786,10746,10261,11305,9609,8857,11198,9450,11184,13197,17952,19040,25770,23622,26344,25006,21983,15636,17341,17325,18541,17551,19748,23344,20353,22951,12641,11345,4986
Atlantic bluefin tuna in the East Atlantic and Mediterranean Sea,Trolling lines,526,362,164,1291,722,471,915,311,746,713,300,204,277,555,318,507,373,380,235,102,194,151,80,39,112,0,125,0,1,0,0
Atlantic bluefin tuna in the West Atlantic,Gear not known,1071,982,850,1329,1056,1063,684,899,1040,1556,1542,1661,1096,1289,1190,1570,1555,1547,1521,1448,1420,1873,2170,1622,1267,1021,1093,1090,1235,1394,1154
Atlantic bluefin tuna in the West Atlantic,Longlines (nei),3973,3879,363,829,832,1245,1278,1237,1475,818,854,1023,885,784,621,604,714,537,887,1074,1080,715,941,418,825,556,715,519,765,573,678
